id,identity_key,ip,location,lat,lon,country,iso3,version
5,4VRUMfGEaNAD7rahRN15PgKe218oJoaPsosw3ZbSi2Nx,206.189.107.3:1789,Amsterdam,52.35,4.9166,Netherlands,NLD,0.10.1
6,Efwb8tUQ77qPD1bNwQffe1us2sDPZEZbtWbP9w1WyZun,167.99.222.165:1789,Amsterdam,52.35,4.9166,Netherlands,NLD,0.10.1
8,GsqJoCum1XPMdGsDbTdxSwe5oDGnfh8XzQPFanr3wT2P,173.249.24.186:1789,Amsterdam,52.35,4.9166,Netherlands,NLD,0.10.1
13,EeRfHUZiKnsmqgFwCQ5b1E9e9jedGcUUMtgp2sdSDGWU,46.101.225.109:1789,Amsterdam,52.35,4.9166,Netherlands,NLD,0.10.1
15,GQo8871NRbEg7Pd2ncskfzLPNALcuQyk3cYLpXmqUzGd,116.203.230.61:1789,Nuremberg,49.4528,11.0778,Germany,DEU,0.10.1
16,2Zzs2ewc9XV8sZuaa1ritErPFitW7PPB7McB3V22NQmH,157.90.229.149:1789,Nuremberg,49.4528,11.0778,Germany,DEU,0.10.1
18,HT5EGZ6sEtc43tGe1JaL2rY291xRkm7UpF8AQofBrNKY,167.99.222.126:1789,Amsterdam,52.35,4.9166,Netherlands,NLD,0.10.1
25,D6d5fEVoHsGCv2cRR4cqKtNgxZFnnp5CeiKdA1NxwUFH,[2a01:4f9:c010:85e9::4]:1789,Toulouse,43.6045,1.444,France,FRA,0.10.1
26,GWY51qqPbnQgKpJtFc4imvzt3cZUvHkaCokgtripAT69,92.222.180.227:1789,Strasbourg,48.5833,7.7458,France,FRA,0.10.1
28,CsN6SrroWAEkx7pefwYiDNwmVV7K6QnGvuzefGa3kwZn,128.199.59.52:1789,Amsterdam,52.35,4.9166,Netherlands,NLD,0.10.1
29,Hz3dSXEVisaPHECMAmxkuKPYudbGVfB7CdXoTdnMY7co,75.119.136.36:1789,Düsseldorf,51.2311,6.7724,Germany,DEU,0.10.1
30,B3tAREFWTuC6jUTnYRU4WVnxaGYxoScqEmAEYZJSCJJQ,136.244.90.233:1789,Frankfurt,50.1136,8.6797,Germany,DEU,0.10.1
33,cSd9kAUTmfTSNnaiYpfnMv3MfPoTFJXUY9j42MkngTB,162.55.37.79:1789,Falkenstein,50.4667,12.3667,Germany,DEU,0.10.1
34,A6M8u1pnj7XhthnoeBHAgtiinYkumGTQJ9BwiPwGVjVM,148.251.41.8:1789,Berlin,52.5167,13.3833,Germany,DEU,0.10.1
43,EAuvTeG3VQeJzAPDDz1rNCMzawBmJAfmaFh1M849vof6,95.179.214.93:1789,Paris,48.8566,2.3522,France,FRA,0.10.1
44,FDrrynA2UH863VRrvhNrhnBkic4yYrkx3u4QAKeQ9kTU,157.245.69.179:1789,Amsterdam,52.35,4.9166,Netherlands,NLD,0.10.1
47,Fq3zcLNWoLm6d3sMWaeb1oWCyT9bbTzrK8BvnrGa4SJK,45.76.95.124:1789,Frankfurt,50.1136,8.6797,Germany,DEU,0.10.1
52,CZqGwDSGNnkXU7BHzowPxY5zdmACfTRtwsJ9dUD4LSMP,162.55.43.24:1789,Falkenstein,50.4667,12.3667,Germany,DEU,0.10.1
53,5znuPESdnWTHXqpFWDVhLUXAX5stZZVwLh6Y2DBZwWNn,134.209.200.185:1789,Amsterdam,52.35,4.9166,Netherlands,NLD,0.10.1
54,Ei3kkBas46n2ASGxbUTSJZj3iYUZpfFRxhjRd9zS4pGT,[2a01:4f8:c2c:5bb2::8]:1789,Amsterdam,52.35,4.9166,Netherlands,NLD,0.10.1
55,GVjrxBKKYXkAUTNdWmeABX5XiDaehaFXbRa2crfaV9kU,168.119.233.224:1789,Nuremberg,49.4528,11.0778,Germany,DEU,0.10.1
59,3yKC5fXLiQq33SyfywWMaNY9yksLkzRrWsbyVHEKerkK,[2a01:4f8:c17:c4e4::16]:1789,Frankfurt,50.1136,8.6797,Germany,DEU,0.10.1
61,CbgJ7QWQcQm98UekN3HkMUurFVthAeSTdhodwJQG9goD,159.65.18.126:1789,London,51.5072,-0.1275,United Kingdom,GBR,0.10.1
62,89JVjC8wNTLpk9x6pRgXYRrRzjqMeW7ZECjsWszaRCRV,188.34.198.56:1789,Nuremberg,49.4528,11.0778,Germany,DEU,0.10.1
64,kM9VqFvuiNjZ8hTeAa951Qp6ENybVVEfy7r179xdgay,194.195.117.222:1789,Nuremberg,49.4528,11.0778,Germany,DEU,0.10.1
68,GGc1gPUK7eUzKFbZuyCH3U59Fr9uFUcdHRWGesxda7oL,15.237.115.127:1789,Paris,48.8566,2.3522,France,FRA,0.10.1
69,4tZtogjDdQMbFMymS8vuzFtMR8SnzU8uZ14Cn8453Vjx,167.71.2.5:1789,Amsterdam,52.35,4.9166,Netherlands,NLD,0.10.1
71,2GQR1Rs9ibssYW9PgQYwJwiLwfW9VCCiStZfvPxnTD8C,136.244.80.197:1789,Frankfurt,50.1136,8.6797,Germany,DEU,0.10.1
75,DUbum3qwCBuHDsqB9aZ3EMJ6EoCQ1mtjagRHiMCws6k3,78.141.214.91:1789,Amsterdam,52.35,4.9166,Netherlands,NLD,0.10.1
76,J29MDRHsC1QGPB83Yj27Xesa2r37jyi4CW45BTMjKJwE,159.100.240.48:1789,Geneva,46.2,6.15,Switzerland,CHE,0.10.1
78,GMdqbdb5Z3ebFumsp1yYEcazie14jMEbRKMdRQJLgVnc,[2a01:4f9:c011:2076::10]:1789,Frankfurt,50.1136,8.6797,Germany,DEU,0.10.1
79,HqBCMSbhyz39CjdbhUqUE4HcRk7eKdjyreWijkSEa3h1,172.104.233.79:1789,Frankfurt,50.1136,8.6797,Germany,DEU,0.10.1
83,A61YsVDELgQA3YFJS4x6ppWcm5wRWNhPZ98DFeWseTJX,157.245.68.46:1789,Amsterdam,52.35,4.9166,Netherlands,NLD,0.10.1
85,43QU57tE2WYqHVv8coWDRhtDAm6VPYFZDpiQAvgZdUMS,[2a01:4f9:c011:38ae::2]:1789,Frankfurt,50.1136,8.6797,Germany,DEU,0.10.1
88,GaJYAYQAMmsJPYuTYyHG3n2yLr7pKUMaeQBexn8JLp7A,199.247.10.71:1789,Paris,48.8566,2.3522,France,FRA,0.10.1
